**INFO_BEGIN**,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model,WT310,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial Number,C2QG19067V,,,,,,,,,,,,,,,,,,,,,,,,,,
Version,F1.04,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Time,2016,1,15,11,14,35,,,,,,,,,,,,,,,,,,,,,
Voltage Range,150,V,,,,,,,,,,,,,,,,,,,,,,,,,
Current Range,0.5,A,,,,,,,,,,,,,,,,,,,,,,,,,
Crest Factor,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Update Rate,0.25,S,,,,,,,,,,,,,,,,,,,,,,,,,
Standard,IEC62301 Ed.2(Auto),,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle Time,300,,,,,,,,,,,,,,,,,,,,,,,,,,
Algorithm,LR,CA,SP1,SP2,SAE,,,,,,,,,,,,,,,,,,,,,,
Stop Factor,LR Stable,,,,,,,,,,,,,,,,,,,,,,,,,,
Valid Period,300,900,,,,,,,,,,,,,,,,,,,,,,,,,
**INFO_END**,,,,,,,,,,,,,,,,,,,,,,,,,,,
**DATA_BEGIN**,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Test Voltage(V),Test Frequency(Hz),THD,Crest Factor U,Crest Factor I,Power(W),Accumulated Energy(Wh),Real Power Factor,Apparent Power(VA),TrendCount,LR-MeasurePower,LR-Threshold,CA-AverageMaximum,CA-AverageMinimum,CA-ThresholdMaximum,CA-ThresholdMinimum,SP1-MeasurePower,SP1-Threshold,SP2-MeasurePower,SP2-Threshold,SAE-MeasurePower,SAE-Threshold,Time (hr),Slope (W/hr),,,
15.75,119.81,59.966,0.189,1.418,6.247,1.31,0.006652,0.1979,6.619,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.004375004,,,,
16,119.82,59.981,0.15,1.418,6.077,1.317,0.006743,0.197,6.685,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.004444448,,,,
16.25,119.8,59.966,0.092,1.419,6.311,1.343,0.006836,0.1969,6.818,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.004513893,,,,
16.5,119.8,59.957,0.074,1.418,6.482,1.287,0.006926,0.1939,6.639,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.004583337,,,,
16.75,119.81,59.965,0.078,1.418,6.251,1.298,0.007017,0.193,6.725,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.004652782,,,,
17,119.82,59.977,0.176,1.418,5.743,1.286,0.007106,0.194,6.63,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.004722226,,,,
17.25,119.82,59.968,0.074,1.418,5.42,1.092,0.007181,0.1788,6.109,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.004791671,,,,
17.5,119.82,59.977,0.215,1.417,5.903,1.103,0.007258,0.1786,6.178,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.004861115,,,,
17.75,119.81,59.97,0.125,1.418,6.054,1.333,0.00735,0.1997,6.678,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.00493056,,,,
18,119.8,59.969,0.084,1.418,6.213,1.331,0.007443,0.197,6.757,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.005000004,,,,
18.25,119.8,59.965,0.095,1.418,5.824,1.3,0.007533,0.1953,6.655,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.005069449,,,,
18.5,119.82,59.964,0.096,1.418,5.987,1.307,0.007624,0.1958,6.677,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.005138893,,,,
