0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREQ,VOLTACT,AMPACT,WATTACT,WHRACT,YVTHD,YATHD,YFREQ,WATTSSTDDEV,VOLTSSTDDEV,WATTSDELTA,AMPSDELTA,VOLTSDELTA,WATTSDELTARBAR,VOLTSDELTARBAR,AMPSDELTARBAR,ARWATTSDELTA,RAWWATTSDELTA
0:00:00,State,Pwr Fac,Voltage V,Amps A,Wattage W,Kwatt Hours,Frequency,Volt Actual,Amp Actual,Watt Actual,Whr Actual,Yok Vthd,Yok Athd,Yok Freq,Watts Std Dev,Volts Std Dev,Watts Delta,Amps Delta,Volts Delta,Watts Delta RBar,Volts Delta RBar,Amps Delta RBar,Watts Delta Avg,Raw Watts Delta
92:42:45,1,0.00,57.372,0.0000,0,0,60.00,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:42:55,1,0.00,57.374,0,0,0,60.00,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:43:06,1,0.00,57.357,0.0000,0,0,59.99,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:43:16,1,0.00,57.359,0.0000,0,0,59.99,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:43:26,1,0.00,57.354,0.0000,0,0,59.99,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:43:36,1,0.00,57.357,0.0000,0,0,59.98,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:43:47,1,0.00,57.356,0.0000,0,0,59.98,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:43:57,1,0.00,57.354,0.0000,0,0,59.98,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:44:07,1,0.00,57.353,0.0000,0,0,59.98,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:44:17,1,0.00,57.351,0.0000,0,0,59.98,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:44:27,1,0.00,57.351,0.0000,0,0,59.98,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:44:38,1,0.00,57.350,0.0000,0,0,59.98,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:44:48,1,0.00,57.355,0.0000,0,0,59.98,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:44:58,1,0.00,57.346,0.0000,0,0,59.97,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:45:09,1,0.00,57.349,0.0000,0,0,59.98,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:45:19,1,0.00,57.354,0.0000,0,0,59.98,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:45:29,1,0.00,57.354,0.0000,0,0,59.98,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:45:39,1,0.00,57.419,0,0,0,59.98,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:45:49,1,0.00,57.423,0,0,0,59.98,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:45:59,1,0.00,57.415,0,0,0,59.97,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:46:09,1,0.00,57.417,0,0,0,59.98,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:46:19,1,0.00,57.410,0,0,0,59.97,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:46:30,1,0.00,57.417,0,0,0,59.97,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:46:40,1,0.00,57.409,0,0,0,59.97,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:46:50,1,0.00,57.420,0,0,0,59.98,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:47:00,1,0.00,57.427,0,0,0,59.99,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:47:11,1,0.00,57.429,0,0,0,59.98,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
